multiplier,J,I,C
GJ,3.32,0,0
GI,3.27,1.68,1.26
GC,2.83,1.93,1.31
SJ,0.67,0.42,0.14
SI,0,0.81,0.6
SC,0,1.24,0.95
FiJ,0,0.57,0.45
FiI,2.26,0.79,0.21
FiC,0,0,0.84
FuJ,2.95,0.56,0
FuI,2.04,1.42,0.56
FuC,2.22,1.69,1.47
mort,0,0,0
rec,1,1,1
