multiplier,J,I,C
GJ,2.88,0,0
GI,2.87,1.6,0
GC,3,1.53,1.25
SJ,0.596,0.325,0.124
SI,0,0.88,0.404
SC,0,0,0.784
FiJ,0,0.482,0.23
FiI,2.26,0.724,0.591
FiC,0,0,0.836
FuJ,2.13,0.563,0
FuI,1.6,1.14,0.559
FuC,2.53,1.55,1.72
mort,0,0,0
rec,1,1,1
