prop_area,J,I,C
GJ,0.152,0,0
GI,0.074,0.219,0.107
GC,0.256,0.083,0.372
SJ,0.061,0.044,0.019
SI,0,0.232,0.099
SC,0,0.088,0.126
FiJ,0,0.031,0.048
FiI,0,0.055,0.007
FiC,0.01,0.029,0.003
FuJ,0.007,0.002,0
FuI,0.108,0.063,0.072
FuC,0.004,0.002,0.024
mort,0.328,0.151,0.124
rec,0,0.064,0.069
