prop_area,J,I,C
GJ,0.152,0,0
GI,0.319,0.31,0
GC,0.01,0.161,0.302
SJ,0.061,0.039,0.024
SI,0,0.127,0.184
SC,0,0,0.239
FiJ,0,0.03,0.049
FiI,0.01,0.017,0.061
FiC,0,0,0.021
FuJ,0.007,0.002,0
FuI,0.065,0.03,0.008
FuC,0.048,0.092,0.029
mort,0.328,0.192,0.083
rec,0,0.066,0.067
