multiplier,J,I,C
GJ,3.32,0,0
GI,3.34,1.45,1.72
GC,3.2,1.84,1.69
SJ,0.67,0.28,0.48
SI,0,0.7,0.71
SC,0,0.68,0.999
FiJ,0,0.57,0.45
FiI,0,0.78,0.21
FiC,2.26,0.87,0.78
FuJ,2.95,0.56,0
FuI,2.14,1.63,1.55
FuC,1.23,1.23,1.43
mort,0,0,0
rec,1,1,1
