multiplier,J,I,C
GJ,2.88,0,0
GI,2.81,1.37,1.39
GC,2.89,1.74,1.56
SJ,0.596,0.224,0.393
SI,0,0.625,0.609
SC,0,0.575,0.924
FiJ,0,0.364,0.335
FiI,0,0.696,0.211
FiC,2.26,0.868,0.777
FuJ,2.13,0.563,0
FuI,1.94,1.49,1.42
FuC,1.23,1.23,1.24
mort,0,0,0
rec,1,1,1
