multiplier,J,I,C
GJ,2.88,0,0
GI,2.88,1.54,1.2
GC,2.81,1.74,1.25
SJ,0.596,0.354,0.128
SI,0,0.714,0.512
SC,0,1.24,0.905
FiJ,0,0.364,0.335
FiI,2.26,0.725,0.211
FiC,0,0,0.836
FuJ,2.13,0.563,0
FuI,1.82,1.28,0.559
FuC,2.12,1.57,1.35
mort,0,0,0
rec,1,1,1
