prop_area,J,I,C
GJ,0.152,0,0
GI,0.319,0.308,0
GC,0.01,0.157,0.313
SJ,0.061,0.041,0.023
SI,0,0.132,0.161
SC,0,0,0.247
FiJ,0,0.031,0.047
FiI,0.01,0.017,0.058
FiC,0,0,0.02
FuJ,0.007,0.002,0
FuI,0.065,0.031,0.008
FuC,0.048,0.088,0.035
mort,0.328,0.192,0.088
rec,0,0.069,0.065
