multiplier,J,I,C
GJ,3.32,0,0
GI,3.24,1.69,0
GC,3,1.93,1.3
SJ,0.67,0.4,0.14
SI,0,0.95,0.45
SC,0,0,0.82
FiJ,0,0.58,0.44
FiI,2.26,0.91,0.61
FiC,0,0,0.84
FuJ,2.95,0.56,0
FuI,1.79,1.28,0.56
FuC,2.6,1.72,1.49
mort,0,0,0
rec,1,1,1
