multiplier,J,I,C
GJ,3.32,0,0
GI,3.23,1.49,1.85
GC,3.24,1.65,1.68
SJ,0.67,0.28,0.48
SI,0,0.72,0.71
SC,0,0.73,0.98
FiJ,0,0.54,0.47
FiI,0,0.78,0.21
FiC,2.26,0.84,0
FuJ,2.95,0.56,0
FuI,2.14,1.63,1.59
FuC,1.23,0.7,1.36
mort,0,0,0
rec,1,1,1
