prop_area,J,I,C
GJ,0.152,0,0
GI,0.319,0.252,0.069
GC,0.01,0.136,0.317
SJ,0.061,0.031,0.033
SI,0,0.163,0.252
SC,0,0.027,0.165
FiJ,0,0.037,0.043
FiI,0.01,0.056,0.009
FiC,0,0,0.027
FuJ,0.007,0.002,0
FuI,0.112,0.057,0.011
FuC,0,0.049,0.026
mort,0.328,0.191,0.049
rec ,0,0.053,0.091
