prop_area,J,I,C
GJ,0.152,0,0
GI,0.081,0.223,0.147
GC,0.248,0.08,0.354
SJ,0.061,0.04,0.021
SI,0,0.242,0.092
SC,0,0.074,0.125
FiJ,0,0.035,0.045
FiI,0,0.05,0.007
FiC,0.01,0.029,0.016
FuJ,0.007,0.002,0
FuI,0.108,0.072,0.067
FuC,0.004,0.005,0.016
mort,0.328,0.15,0.122
rec ,0,0.058,0.079
